harvest,quarter,rain.mm
2008,4,3.54510869565217
2009,1,5.23222222222222
2009,2,1.49098360655738
2009,3,2.94005681818182
2009,4,5.20108695652174
2010,1,6.25855263157895
2010,2,0.1
2010,3,0.640073529411765
2010,4,2.80172413793103
2011,4,4.59239130434783
2012,1,3.9849609375
2012,2,4.50645604395604
2012,3,1.12988505747126
2012,4,4.91086956521739
2013,1,6.24051724137931
2013,2,2.40737704918033
2013,3,0.979360465116279
2013,4,3.7625
2014,1,5.95416666666667
2014,2,2.56798245614035
2014,3,2.80951086956522
2014,4,3.58617647058824
2015,1,2.81
2015,3,2.73729508196721
2015,4,4.39112903225806
2016,1,3.25972222222222
2016,2,0.1875
2016,3,1.51703296703297
2016,4,4.16370967741936
2017,1,4.40666666666667
2017,2,2.95777027027027
2017,3,0.9084375
2017,4,5.20147058823529
2018,1,4.78850806451613
2018,2,0.555
2018,3,0
